Key,Site,Subsite,Date,Time,Species,Survey,Survey Location,Banded,Unbanded,Banded.Unknown,Unknown,Ocean,BayBackshore,Comments,Notes
15712,FNS,NBE,2013-05-24,10:44:00 AM,REKN,,BAY,0,9,0,0,NA,9,BACKSHORE SURVEY,"Compiled data from both sets of shorebird surveys completed by VT. Derrived from Plover_Database_Revamp: Sand_Bar_Visit and Shorebird Surveys tabs. Altered column ""SURVEY LOCATION"" to indicate whether survey was conducted Oceanside, Bay/Backshore (considered as one value in this data), or Both.  Values: BAY= ONLY Bay/Backshore Surveyed, OCEAN= ONLY oceanside surveyed, BOTH=Both Bay/backshore and ocean surveyed. Tallied unbanded/"
15713,FNS,LFS,2013-07-19,8:50:00 AM,REKN,,BAY,0,12,0,0,NA,12,Survey conducted on Floodshoal. Counted as backshore/bay survey-LFH,
15714,FNS,NBW,2013-08-07,11:10:00 AM,REKN,,BAY,0,17,0,0,NA,17,,
15715,FNS,SPTE,2013-08-21,9:59:00 AM,REKN,,BOTH,0,12,0,0,12,0,SEEN ON OCEAN,
20720,FNS,FS,2014-06-07,7:11:00 AM,REKN,9,BOTH,0,5,0,0,0,5,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
20741,FNS,FS,2014-06-12,10:54:00 AM,REKN,,BOTH,0,14,0,0,0,14,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
20926,FNS,CMF,2014-07-22,9:45:00 AM,REKN,15,BOTH,0,1,0,0,0,1,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
21116,FNS,FS,2014-08-18,8:03:00 AM,REKN,20,BOTH,0,11,0,0,0,11,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
21430,FNS,FS,2014-06-06,7:11:00 AM,REKN,,BOTH,0,8,0,0,0,8,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
21448,FNS,NBE,2014-06-06,11:10:00 AM,REKN,9,BOTH,0,1,0,0,0,1,BAY [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
21476,FNS,FS,2014-06-10,6:55:00 AM,REKN,,BOTH,0,22,0,0,0,22,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22176,FNS,CSB,2014-07-29,4:34:00 PM,REKN,16,BOTH,0,7,0,0,0,7,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22290,FNS,CSB,2014-08-07,11:13:00 AM,REKN,17.5,BOTH,0,27,0,0,0,27,2 DOGS [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22297,FNS,CMF,2014-08-07,12:35:00 PM,REKN,17.5,BOTH,0,22,0,0,0,22,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22452,FNS,SPTE,2014-08-14,9:26:00 AM,REKN,19,BOTH,0,19,0,0,19,0,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22533,FNS,FS,2014-08-21,12:14:00 PM,REKN,21,BAY,0,3,0,0,NA,3,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22551,FNS,CSB,2014-08-11,2:43:00 PM,REKN,18,BOTH,0,48,0,0,0,48,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22577,FNS,CSB,2014-08-20,9:42:00 AM,REKN,20,BOTH,0,112,0,0,0,112,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22664,FNS,SPTE,2014-08-29,10:25:00 AM,REKN,23,BOTH,0,15,0,0,15,0,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22731,FNS,CSB,2014-09-15,7:18:00 AM,REKN,26,BOTH,0,3,0,0,0,3,TOOK POINT FROM LAST WEEK-605. MAPPED LOW TIDE LINE [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
22760,FNS,CSB,2014-09-22,1:35:00 PM,REKN,27,BOTH,0,27,0,0,0,27,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23061,FNS,CSB,2014-05-12,12:15:00 PM,REKN,5,BOTH,0,22,0,0,0,22,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23122,FNS,CSB,2014-05-18,7:56:00 AM,REKN,6,BOTH,0,1,0,0,0,1,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23186,FNS,CSE,2014-05-25,8:38:00 AM,REKN,7,BOTH,0,1,0,0,0,1,BAY [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23194,FNS,CSB,2014-05-25,10:12:00 AM,REKN,7,BOTH,0,15,0,0,0,15,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23422,FNS,CSB,2014-08-04,7:33:00 AM,REKN,17,BOTH,0,23,0,0,0,23,ONE BANDED BIRD [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23456,FNS,CMF,2014-08-15,6:25:00 AM,REKN,19,BOTH,0,33,0,0,0,33,ONE BANDED OF(LMY) [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23466,FNS,CSB,2014-08-15,7:47:00 AM,REKN,19,BOTH,0,61,0,0,0,61,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23592,FNS,SPTE,2014-08-26,10:03:00 AM,REKN,22,BOTH,0,30,0,0,30,0,1 MOVING (FISHERMAN) [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23627,FNS,PSO,2014-09-02,9:36:00 AM,REKN,24,OCEAN,0,1,0,0,1,NA,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23643,FNS,SPTE,2014-09-02,10:40:00 AM,REKN,24,BOTH,0,12,0,0,12,0,1 PARKED: FISHING [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23702,FNS,FS,2014-09-04,9:44:00 AM,REKN,24,BAY,0,20,0,0,NA,20,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23714,FNS,CSB,2014-09-08,12:45:00 PM,REKN,25,BOTH,0,69,0,0,0,69,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
23972,FNS,FS,2014-06-07,7:50:00 AM,REKN,9,BOTH,0,20,0,0,0,20,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
24050,FNS,CSB,2014-08-25,2:39:00 PM,REKN,21,BOTH,0,28,1,0,0,28,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
24066,FNS,CMF,2014-08-25,4:19:00 PM,REKN,21,BOTH,0,9,0,0,0,9,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
24070,FNS,CSB,2014-09-03,7:59:00 AM,REKN,24,BOTH,0,61,0,0,0,61,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
24096,FNS,CSW,2014-09-22,9:42:00 AM,REKN,27,BOTH,0,24,0,0,0,24,BAY [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],
25420,FNS,CSB,2015-05-09,5:34:00 PM,REKN,,BOTH,0,4,0,0,0,4,,
25562,FNS,CSB,2015-05-16,3:13:00 PM,REKN,,BOTH,0,29,0,0,0,29,,
25790,FNS,MUS,2015-05-28,1:06:00 PM,REKN,,BAY,0,15,0,0,NA,15,,
25957,FNS,MWPF,2015-06-07,11:17:00 AM,REKN,,BAY,0,1,0,0,NA,1,,
26131,FNS,CSB,2015-06-17,4:29:00 PM,REKN,,BAY,0,1,0,0,NA,1,,
26387,FNS,CMF,2015-07-03,3:16:00 PM,REKN,,BAY,0,5,0,0,NA,5,,
26748,FNS,CSB,2015-07-17,4:22:00 PM,REKN,,BAY,0,1,0,0,NA,1,2 BOATS (SKIDOOS) 1 ODOG,
26898,FNS,CSB,2015-07-23,7:48:00 AM,REKN,,BOTH,0,1,0,0,0,1,MATT ON BOAT WAS NOT COUNTED AS OBSERVER,
26920,FNS,MUS,2015-07-23,10:44:00 AM,REKN,,BAY,0,3,0,0,NA,3,,
26944,FNS,TOR,2015-07-23,11:41:00 AM,REKN,,BAY,0,83,0,0,NA,83,,
27136,FNS,CSB,2015-07-31,3:15:00 PM,REKN,,BAY,0,8,0,0,NA,8,2 ODOGS,
27325,FNS,CSB,2015-08-06,7:16:00 AM,REKN,,BOTH,0,33,0,0,0,33,,
27427,FNS,CSB,2015-08-12,1:10:00 PM,REKN,,BOTH,0,18,0,0,0,18,2 ODOG,
27499,FNS,SPTE,2015-08-14,8:15:00 AM,REKN,,BOTH,0,15,1,0,0,16,,
27536,FNS,TOR,2015-08-16,5:15:00 PM,REKN,,BOTH,0,12,0,0,0,12,,
27589,FNS,SPTE,2015-08-17,7:49:00 AM,REKN,,BOTH,0,13,0,0,0,13,1 FOX,
27617,FNS,CSB,2015-08-18,4:29:00 PM,REKN,,BAY,0,39,0,0,NA,39,,
27650,FNS,TOR,2015-08-19,7:18:00 AM,REKN,,BAY,0,6,0,0,NA,6,,
27706,FNS,SPTE,2015-08-20,9:08:00 AM,REKN,,BOTH,0,6,0,0,0,6,1 FOX,
27732,FNS,CSB,2015-08-24,9:40:00 AM,REKN,,BAY,0,6,0,0,NA,6,,
27755,FNS,MUS,2015-08-25,11:18:00 AM,REKN,,BAY,0,19,0,0,NA,19,,
27852,FNS,CSB,2015-08-27,12:22:00 PM,REKN,,BAY,0,26,0,0,NA,26,,
27873,FNS,MUS,2015-08-28,2:03:00 PM,REKN,,BAY,0,23,0,0,NA,23,,
27928,FNS,SPTE,2015-08-31,9:38:00 AM,REKN,,BOTH,0,2,0,0,2,0,1 TRUCK,
27952,FNS,CSB,2015-09-01,5:03:00 PM,REKN,,BAY,0,6,0,0,NA,6,3 ODOG,
27981,FNS,MUS,2015-09-02,6:42:00 AM,REKN,,BAY,0,25,0,0,NA,25,,
28041,FNS,SPTE,2015-09-03,9:39:00 AM,REKN,,BOTH,0,5,0,0,5,0,1 FOX,
28064,FNS,MUS,2015-09-08,1:10:00 PM,REKN,,BAY,0,32,0,0,NA,32,,
28096,FNS,OIE,2015-09-09,8:30:00 AM,REKN,,BOTH,0,1,0,0,1,0,,
28131,FNS,CSB,2015-09-11,12:50:00 PM,REKN,,BAY,0,69,0,0,NA,69,,
28152,FNS,CMF,2015-09-15,4:09:00 PM,REKN,,BAY,0,2,0,0,NA,2,,
28185,FNS,SPTE,2015-09-16,10:01:00 AM,REKN,,BOTH,0,1,0,0,1,0,,
28270,FNS,MUS,2015-09-23,11:36:00 AM,REKN,,BAY,0,3,0,0,NA,3,,
28288,FNS,CSB,2015-09-24,11:24:00 AM,REKN,,BAY,0,19,0,0,NA,19,,
217,FNS,DMP,2016-08-07,7:26:00 AM,REKN,,BOTH,0,1,0,0,1,0,,
335,FNS,CSB,2016-04-19,11:43:00 AM,REKN,2,BAY,0,1,0,0,NA,1,,
393,FNS,CSB,2016-04-28,7:15:00 AM,REKN,3,BAY,0,1,0,0,NA,1,,
455,FNS,CSB,2016-05-10,5:13:00 PM,REKN,5,BAY,0,2,0,0,NA,2,,
517,FNS,OIW,2016-05-12,10:16:00 AM,REKN,5,BOTH,0,14,0,0,0,14,,
573,FNS,CSB,2016-05-18,11:45:00 AM,REKN,6,BAY,0,2,0,0,NA,2,,
589,FNS,FS,2016-05-25,9:45:00 AM,REKN,7,BAY,0,,0,40,NA,40,,
598,FNS,OIW,2016-05-25,9:36:00 AM,REKN,7,BOTH,0,1,0,0,0,1,,
679,FNS,CMF,2016-06-01,10:56:00 AM,REKN,8,BAY,0,1,0,0,NA,1,,
744,FNS,FS,2016-06-03,2:09:00 PM,REKN,8,BAY,0,5,0,0,NA,5,,
778,FNS,PSO,2016-06-06,8:27:00 AM,REKN,9,BAY,0,2,0,0,NA,2,,
790,FNS,OIW,2016-06-07,10:24:00 AM,REKN,9,BAY,0,6,0,0,NA,6,,
804,FNS,OIW,2016-06-14,12:27:00 PM,REKN,10,BAY,0,2,0,0,NA,2,,
821,FNS,CSB,2016-06-15,1:24:00 PM,REKN,10,BAY,0,5,0,0,NA,5,,
873,FNS,FS,2016-06-24,8:16:00 AM,REKN,11,BAY,0,0,0,2,NA,2,,
1078,FNS,OIW,2016-07-20,8:30:00 AM,REKN,15,BAY,0,21,1,0,NA,22,,
1135,FNS,CSB,2016-07-24,6:24:00 AM,REKN,15,BAY,0,17,0,0,NA,17,,
1138,FNS,CSB,2016-07-26,8:38:00 AM,REKN,16,BAY,0,11,0,0,NA,11,,
1177,FNS,OIW,2016-07-29,2:25:00 PM,REKN,16,BAY,0,4,0,0,NA,4,,
1249,FNS,CSB,2016-07-31,10:54:00 AM,REKN,17,BAY,0,13,0,0,NA,13,,
1289,FNS,OIW,2016-08-01,2:50:00 PM,REKN,17,BAY,0,19,0,0,NA,19,,
1321,FNS,OIW,2016-08-02,6:53:00 AM,REKN,18,BAY,0,16,0,0,NA,16,,
1330,FNS,CSB,2016-08-02,12:36:00 PM,REKN,18,BAY,0,7,0,0,NA,7,,
1529,FNS,OIW,2016-08-11,12:00:00 PM,REKN,20,BAY,0,3,0,0,NA,3,,
1547,FNS,CSB,2016-08-11,8:05:00 AM,REKN,20,BAY,0,8,0,0,NA,8,,
1569,FNS,CSB,2016-08-15,1:02:00 PM,REKN,21,BAY,0,17,0,0,NA,17,,
1653,FNS,CSB,2016-08-17,1:44:00 PM,REKN,22,BAY,0,17,0,0,NA,17,,
1702,FNS,SPTE,2016-08-18,10:55:00 AM,REKN,22,OCEAN,0,1,0,0,1,NA,,
1732,FNS,OIW,2016-08-19,7:07:00 AM,REKN,22,BOTH,0,4,0,0,0,4,,
1748,FNS,FS,2016-08-19,6:37:00 AM,REKN,22,BAY,0,3,0,0,NA,3,LEFT RED FLAG,
1792,FNS,CSB,2016-08-24,7:19:00 AM,REKN,23,BAY,0,31,0,0,NA,31,,
1837,FNS,CSB,2016-08-26,9:02:00 AM,REKN,24,BAY,0,43,0,0,NA,43,,
1850,FNS,CMF,2016-08-26,9:47:00 AM,REKN,24,BAY,0,1,0,0,NA,1,,
1921,FNS,CSB,2016-08-30,12:57:00 PM,REKN,25,BAY,0,49,0,0,NA,49,,
1965,FNS,SPTE,2016-08-31,8:20:00 AM,REKN,25,BOTH,0,18,0,0,18,0,,
2027,FNS,CSW,2016-09-08,9:00:00 AM,REKN,26,BOTH,0,3,0,0,0,3,,
2039,FNS,CSB,2016-09-08,8:13:00 AM,REKN,26,BAY,0,65,0,0,NA,65,,
2078,FNS,CSB,2016-09-10,9:14:00 AM,REKN,27,BAY,0,24,0,0,NA,24,,
2127,FNS,CSB,2016-09-15,2:03:00 PM,REKN,28,BAY,0,12,0,0,NA,12,,
2222,FNS,CSB,2016-09-21,6:50:00 AM,REKN,29,BAY,0,42,0,0,NA,42,,
2256,FNS,CSB,2016-09-25,11:24:00 AM,REKN,30,BAY,0,23,0,0,NA,23,,
